================ Training Loss (Thu Aug 21 08:19:35 2025) ================
================ Training Loss (Thu Aug 21 08:19:35 2025) ================
[Rank 0] (epoch: 5, iters: 156, time: 0.847, data: 0.002) , D_A: 0.133, G_A: 0.339, cycle_A: 0.139, idt_A: 0.194, D_B: 0.258, G_B: 0.540, cycle_B: 0.483, idt_B: 0.064

[Rank 0] (epoch: 5, iters: 256, time: 0.704, data: 0.002) , D_A: 0.277, G_A: 0.161, cycle_A: 0.231, idt_A: 0.223, D_B: 0.289, G_B: 0.187, cycle_B: 0.441, idt_B: 0.077

[Rank 0] (epoch: 5, iters: 356, time: 0.701, data: 0.002) , D_A: 0.124, G_A: 0.260, cycle_A: 0.027, idt_A: 0.168, D_B: 0.260, G_B: 0.226, cycle_B: 0.450, idt_B: 0.012

[Rank 0] (epoch: 5, iters: 456, time: 0.694, data: 0.002) , D_A: 0.169, G_A: 0.183, cycle_A: 0.064, idt_A: 0.209, D_B: 0.189, G_B: 0.408, cycle_B: 0.473, idt_B: 0.032

[Rank 0] (epoch: 5, iters: 556, time: 0.700, data: 0.002) , D_A: 0.307, G_A: 0.211, cycle_A: 0.369, idt_A: 0.274, D_B: 0.270, G_B: 0.274, cycle_B: 0.366, idt_B: 0.191

[Rank 0] (epoch: 5, iters: 656, time: 0.701, data: 0.002) , D_A: 0.219, G_A: 0.240, cycle_A: 0.044, idt_A: 0.282, D_B: 0.219, G_B: 0.368, cycle_B: 0.619, idt_B: 0.019

[Rank 0] (epoch: 6, iters: 95, time: 0.688, data: 0.002) , D_A: 0.307, G_A: 0.171, cycle_A: 0.207, idt_A: 0.197, D_B: 0.240, G_B: 0.186, cycle_B: 0.191, idt_B: 0.106

[Rank 0] (epoch: 6, iters: 195, time: 0.710, data: 0.002) , D_A: 0.328, G_A: 0.542, cycle_A: 0.147, idt_A: 0.300, D_B: 0.220, G_B: 0.128, cycle_B: 0.613, idt_B: 0.058

[Rank 0] (epoch: 6, iters: 295, time: 0.842, data: 0.002) , D_A: 0.305, G_A: 0.273, cycle_A: 0.177, idt_A: 0.089, D_B: 0.270, G_B: 0.203, cycle_B: 0.171, idt_B: 0.078

[Rank 0] (epoch: 6, iters: 395, time: 0.695, data: 0.002) , D_A: 0.090, G_A: 0.430, cycle_A: 0.145, idt_A: 0.178, D_B: 0.239, G_B: 0.282, cycle_B: 0.450, idt_B: 0.064

[Rank 0] (epoch: 6, iters: 495, time: 0.698, data: 0.002) , D_A: 0.191, G_A: 0.449, cycle_A: 0.247, idt_A: 0.108, D_B: 0.231, G_B: 0.237, cycle_B: 0.237, idt_B: 0.134

[Rank 0] (epoch: 6, iters: 595, time: 0.696, data: 0.002) , D_A: 0.285, G_A: 0.334, cycle_A: 0.113, idt_A: 0.012, D_B: 0.263, G_B: 0.139, cycle_B: 0.027, idt_B: 0.053

[Rank 0] (epoch: 7, iters: 34, time: 0.773, data: 0.002) , D_A: 0.136, G_A: 0.339, cycle_A: 0.085, idt_A: 0.281, D_B: 0.221, G_B: 0.417, cycle_B: 0.569, idt_B: 0.041

[Rank 0] (epoch: 7, iters: 134, time: 0.695, data: 0.002) , D_A: 0.261, G_A: 0.358, cycle_A: 0.083, idt_A: 0.094, D_B: 0.251, G_B: 0.292, cycle_B: 0.203, idt_B: 0.036

[Rank 0] (epoch: 7, iters: 234, time: 0.700, data: 0.002) , D_A: 0.293, G_A: 0.243, cycle_A: 0.035, idt_A: 0.137, D_B: 0.253, G_B: 0.282, cycle_B: 0.275, idt_B: 0.018

[Rank 0] (epoch: 7, iters: 334, time: 0.716, data: 0.002) , D_A: 0.324, G_A: 0.260, cycle_A: 0.060, idt_A: 0.041, D_B: 0.239, G_B: 0.272, cycle_B: 0.124, idt_B: 0.021

[Rank 0] (epoch: 7, iters: 434, time: 0.700, data: 0.002) , D_A: 0.165, G_A: 0.261, cycle_A: 0.519, idt_A: 0.135, D_B: 0.253, G_B: 0.220, cycle_B: 0.377, idt_B: 0.232

[Rank 0] (epoch: 7, iters: 534, time: 0.692, data: 0.002) , D_A: 0.188, G_A: 0.179, cycle_A: 0.157, idt_A: 0.221, D_B: 0.266, G_B: 0.267, cycle_B: 0.489, idt_B: 0.072

[Rank 0] (epoch: 7, iters: 634, time: 0.694, data: 0.002) , D_A: 0.203, G_A: 0.379, cycle_A: 0.138, idt_A: 0.083, D_B: 0.247, G_B: 0.305, cycle_B: 0.163, idt_B: 0.065

[Rank 0] (epoch: 8, iters: 73, time: 0.698, data: 0.002) , D_A: 0.066, G_A: 0.320, cycle_A: 0.252, idt_A: 0.292, D_B: 0.307, G_B: 0.199, cycle_B: 0.613, idt_B: 0.111

[Rank 0] (epoch: 8, iters: 173, time: 0.834, data: 0.002) , D_A: 0.218, G_A: 0.384, cycle_A: 0.141, idt_A: 0.072, D_B: 0.274, G_B: 0.214, cycle_B: 0.146, idt_B: 0.057

[Rank 0] (epoch: 8, iters: 273, time: 0.707, data: 0.002) , D_A: 0.202, G_A: 0.229, cycle_A: 0.148, idt_A: 0.105, D_B: 0.206, G_B: 0.460, cycle_B: 0.284, idt_B: 0.080

